# #initialSiteID,finalSiteID,s_x[ang.],s_y[ang.],s_z[ang.],freq[Hz]
118,490,-1.0000002963,0.9999977815,0.0000000000,2.0210164798e+11
118,612,0.9999977815,0.9999977815,0.0000000000,8.3120763698e+10
119,492,1.0000002963,0.9999977815,0.0000000000,7.9971085071e+10
119,610,-0.9999990389,0.9999977815,0.0000000000,7.9971085071e+10
120,491,-1.0000002963,-0.9999992066,0.0000000000,3.8386525377e+10
120,609,0.9999977815,-0.9999992066,0.0000000000,2.2259284232e+11
121,43,0.0000000000,-0.9999990389,0.9999992066,1.1947870728e+12
121,1121,0.0000000000,-0.9999990389,-0.9999992904,4.1298642124e+11
122,44,0.0000000000,1.0000002963,-0.9999977815,8.3120763698e+10
122,1122,0.0000000000,1.0000002963,1.0000002963,8.3120763698e+10
123,42,0.0000000000,1.0000002963,0.9999992066,1.9364095514e+12
123,1124,0.0000000000,1.0000002963,-0.9999992904,4.1298642124e+11
124,41,0.0000000000,-0.9999990389,-0.9999977815,1.1947870728e+12
124,1123,0.0000000000,-0.9999990389,1.0000002963,4.1298642124e+11
125,40,0.9999992066,0.0000000000,-0.9999990389,8.3120763698e+10
125,1118,-0.9999992904,0.0000000000,-0.9999990389,8.3120763698e+10
126,39,-0.9999977815,0.0000000000,1.0000002963,3.8228098852e+11
126,1117,1.0000002963,0.0000000000,1.0000002963,2.0210164798e+11
127,37,0.9999992066,0.0000000000,1.0000002963,7.6623211398e+11
127,1119,-0.9999992904,0.0000000000,1.0000002963,7.9971085071e+10
128,38,-0.9999977815,0.0000000000,-0.9999990389,8.3120763698e+10
128,1120,1.0000002963,0.0000000000,-0.9999990389,8.3120763698e+10
129,45,-0.9999990389,0.9999992066,0.0000000000,4.1298642124e+11
129,1127,-0.9999990389,-0.9999992904,0.0000000000,1.1947870728e+12
130,46,1.0000002963,-0.9999977815,0.0000000000,4.1298642124e+11
130,1128,1.0000002963,1.0000002963,0.0000000000,4.1298642124e+11
131,48,1.0000002963,0.9999992066,0.0000000000,4.1298642124e+11
131,1126,1.0000002963,-0.9999992904,0.0000000000,4.1298642124e+11
132,47,-0.9999990389,-0.9999977815,0.0000000000,1.3734235627e+11
132,1125,-0.9999990389,1.0000002963,0.0000000000,1.4275161493e+11
133,31,-0.9999990389,0.0000000000,-0.9999977815,2.3489831238e+12
133,1109,-0.9999990389,0.0000000000,1.0000002963,3.2754920976e+11
134,32,1.0000002963,0.0000000000,0.9999992066,4.1298642124e+11
134,1110,1.0000002963,0.0000000000,-0.9999992904,4.1298642124e+11
135,30,1.0000002963,0.0000000000,-0.9999977815,1.1947870728e+12
135,1112,1.0000002963,0.0000000000,1.0000002963,4.1298642124e+11
136,29,-0.9999990389,0.0000000000,0.9999992066,8.3120763698e+10
136,1111,-0.9999990389,0.0000000000,-0.9999992904,1.9823557133e+11
137,28,0.0000000000,0.9999992066,1.0000002963,1.1059549655e+12
137,1106,0.0000000000,-0.9999992904,1.0000002963,2.3489831238e+12
138,27,0.0000000000,-0.9999977815,-0.9999990389,1.9364095514e+12
138,1105,0.0000000000,1.0000002963,-0.9999990389,4.1298642124e+11
139,25,0.0000000000,0.9999992066,-0.9999990389,2.1504569935e+10
139,1107,0.0000000000,-0.9999992904,-0.9999990389,2.5587342005e+10
140,26,0.0000000000,-0.9999977815,1.0000002963,1.4275161493e+11
140,1108,0.0000000000,1.0000002963,1.0000002963,2.0919451260e+12
141,33,0.9999992066,-0.9999990389,0.0000000000,4.1298642124e+11
141,1115,-0.9999992904,-0.9999990389,0.0000000000,4.1298642124e+11
142,34,-0.9999977815,1.0000002963,0.0000000000,4.1298642124e+11
142,1116,1.0000002963,1.0000002963,0.0000000000,4.1298642124e+11
143,36,0.9999992066,1.0000002963,0.0000000000,2.0210164798e+11
143,1114,-0.9999992904,1.0000002963,0.0000000000,8.3120763698e+10
144,35,-0.9999977815,-0.9999990389,0.0000000000,4.1298642124e+11
144,1113,1.0000002963,-0.9999990389,0.0000000000,4.1298642124e+11
145,163,0.0000000000,-0.9999990389,0.9999990389,1.1059549655e+12
145,1001,0.0000000000,-0.9999990389,-0.9999996676,3.2754920976e+11
146,164,0.0000000000,1.0000002963,-1.0000002963,2.5587342005e+10
146,1002,0.0000000000,1.0000002963,0.9999977815,2.5587342005e+10
147,162,0.0000000000,1.0000002963,0.9999990389,7.9971085071e+10
